genre,wiki_title,confidence,source
australian classical piano,Music genre,medium,wikipedia_fallback
piano blues,Piano blues,high,wikidata
histoire pour enfants,Anoumabo Urban Music Festival,medium,wikipedia_fallback
dalarna indie,Bolaget,medium,wikipedia_fallback
cante alentejano,Cante Alentejano,high,wikidata
rockabilly,Rockabilly,high,wikidata
blues,Blues,high,wikidata
dutch musical,Dutch Musical Artists' Union,medium,wikipedia_fallback
brazilian ccm,2020 in Latin music,medium,wikipedia_fallback
lilith,Butcher Babies,medium,wikipedia_fallback
candombe,Candombe,high,wikidata
rwandan gospel,Kizito Mihigo,medium,wikipedia_fallback
mestissatge,Txarango,medium,wikipedia_fallback
punk rock italiano,Progressive rock,medium,wikipedia_fallback
taiwan indie,G-Music,medium,wikipedia_fallback
cimbalom,Gypsy style,medium,wikipedia_fallback
syro-aramaic chant,Kandisa (album),medium,wikipedia_fallback
cajun,Cajun music,high,wikidata
canadian rock,Rock music of Canada,high,wikidata
dangdut remix,List of music genres and styles,medium,wikipedia_fallback
swancore,Post-hardcore,medium,wikipedia_fallback
channel pop,The Big Bang (song),medium,wikipedia_fallback
brazilian rockabilly,Léo Jaime,medium,wikipedia_fallback
dutch r&b,Outta Here (Esmée Denters song),medium,wikipedia_fallback
pop lgbtq+ brasileira,Music of Brazil,medium,wikipedia_fallback
adventista,,none,unmatched
goralski,Kryzys,medium,wikipedia_fallback
chamame brasilero,,none,unmatched
turkish singer-songwriter,Moje Proljeće,medium,wikipedia_fallback
turbo folk,Turbo-folk,high,wikidata
jazz puertorriqueno,Music of Puerto Rico,medium,wikipedia_fallback
mexican power metal,Music genre,medium,wikipedia_fallback
reggae peruano,Music of Latin America,medium,wikipedia_fallback
polish folk metal,Percival (band),medium,wikipedia_fallback
malaysian metal,Music genre,medium,wikipedia_fallback
judaica,Zohar (album),medium,wikipedia_fallback
indian jazz,Jazz in India,high,wikidata
derry indie,EMF (band),medium,wikipedia_fallback
muzica usoara,Easy listening,high,wikidata
kolkata indie,High (musical group),medium,wikipedia_fallback
wyoming indie,Asthmatic Kitty,medium,wikipedia_fallback
musica brasiliense,Music of Brazil,medium,wikipedia_fallback
mambo,Mambo (music),medium,wikipedia_fallback
classic turkish pop,Music genre,medium,wikipedia_fallback
variete francaise,Variety (radio),high,wikidata
swedish rock-and-roll,Sun Cats,medium,wikipedia_fallback
jam band,Jam band,medium,wikipedia_fallback
classic pakistani pop,Music genre,medium,wikipedia_fallback
west virginia indie,Midwest emo,medium,wikipedia_fallback
